time,dir,entry,exit,result
2026-02-02 20:00:00+00:00,PUT,1.3640899999999998,1.36407,win
2026-02-02 20:10:00+00:00,PUT,1.3641199999999998,1.3643499999999995,loss
2026-02-02 20:20:00+00:00,PUT,1.3639,1.36472,loss
2026-02-02 20:30:00+00:00,PUT,1.36407,1.36499,loss
2026-02-02 20:40:00+00:00,PUT,1.3643499999999995,1.3650399999999998,loss
2026-02-02 20:50:00+00:00,PUT,1.36472,1.36495,loss
2026-02-02 21:00:00+00:00,CALL,1.36499,1.3648699999999998,loss
2026-02-02 21:10:00+00:00,CALL,1.3650399999999998,1.3649599999999995,loss
2026-02-02 21:20:00+00:00,CALL,1.36495,1.36488,loss
2026-02-02 21:30:00+00:00,CALL,1.3648699999999998,1.36465,loss
2026-02-02 21:40:00+00:00,CALL,1.3649599999999995,1.36458,loss
2026-02-02 21:50:00+00:00,CALL,1.36488,1.36434,loss
2026-02-02 22:00:00+00:00,CALL,1.36465,1.3644499999999995,loss
2026-02-02 22:10:00+00:00,CALL,1.36458,1.36448,loss
2026-02-02 22:20:00+00:00,CALL,1.36434,1.3641899999999998,loss
2026-02-02 22:30:00+00:00,CALL,1.3644499999999995,1.3645299999999998,win
2026-02-02 22:40:00+00:00,CALL,1.36448,1.3646599999999998,win
2026-02-02 22:50:00+00:00,CALL,1.3641899999999998,1.3650599999999995,win
2026-02-03 20:00:00+00:00,PUT,1.36654,1.36742,loss
2026-02-03 20:10:00+00:00,PUT,1.3669999999999998,1.3673099999999998,loss
2026-02-03 20:20:00+00:00,PUT,1.3669099999999998,1.3677199999999998,loss
2026-02-03 20:30:00+00:00,PUT,1.36742,1.368,loss
2026-02-03 20:40:00+00:00,PUT,1.3673099999999998,1.3681799999999995,loss
2026-02-03 20:50:00+00:00,PUT,1.3677199999999998,1.3682299999999998,loss
2026-02-03 21:00:00+00:00,CALL,1.368,1.36814,win
2026-02-03 21:10:00+00:00,CALL,1.3681799999999995,1.36803,loss
2026-02-03 21:20:00+00:00,CALL,1.3682299999999998,1.3680599999999998,loss
2026-02-03 21:30:00+00:00,CALL,1.36814,1.36715,loss
2026-02-03 21:40:00+00:00,CALL,1.36803,1.36687,loss
2026-02-03 21:50:00+00:00,CALL,1.3680599999999998,1.36657,loss
2026-02-03 22:00:00+00:00,CALL,1.36715,1.36766,win
2026-02-03 22:10:00+00:00,CALL,1.36687,1.3677,win
2026-02-03 22:20:00+00:00,CALL,1.36657,1.36792,win
2026-02-03 22:30:00+00:00,CALL,1.36766,1.36789,win
2026-02-03 22:40:00+00:00,CALL,1.3677,1.36793,win
2026-02-03 22:50:00+00:00,CALL,1.36792,1.36761,loss
2026-02-04 20:00:00+00:00,PUT,1.3643,1.3636,win
2026-02-04 20:10:00+00:00,PUT,1.36417,1.36321,win
2026-02-04 20:20:00+00:00,PUT,1.36379,1.36294,win
2026-02-04 20:30:00+00:00,PUT,1.3636,1.36332,win
2026-02-04 20:40:00+00:00,PUT,1.36321,1.36349,loss
2026-02-04 20:50:00+00:00,PUT,1.36294,1.36353,loss
2026-02-04 21:00:00+00:00,CALL,1.36332,1.36331,loss
2026-02-04 21:10:00+00:00,CALL,1.36349,1.36351,win
2026-02-04 21:20:00+00:00,CALL,1.36353,1.36309,loss
2026-02-04 21:30:00+00:00,CALL,1.36331,1.36275,loss
2026-02-04 21:40:00+00:00,CALL,1.36351,1.36278,loss
2026-02-04 21:50:00+00:00,CALL,1.36309,1.36286,loss
2026-02-04 22:00:00+00:00,CALL,1.36275,1.36286,win
2026-02-04 22:10:00+00:00,CALL,1.36278,1.363,win
2026-02-04 22:20:00+00:00,CALL,1.36286,1.36282,loss
2026-02-04 22:30:00+00:00,CALL,1.36286,1.36292,win
2026-02-04 22:40:00+00:00,CALL,1.363,1.36282,loss
2026-02-04 22:50:00+00:00,CALL,1.36282,1.3627600000000002,loss
2026-02-05 20:00:00+00:00,PUT,1.3526900000000002,1.35288,loss
2026-02-05 20:10:00+00:00,PUT,1.3529700000000002,1.3521800000000002,win
2026-02-05 20:20:00+00:00,PUT,1.3530400000000002,1.3520900000000002,win
2026-02-05 20:30:00+00:00,PUT,1.35288,1.3518200000000002,win
2026-02-05 20:40:00+00:00,PUT,1.3521800000000002,1.3515800000000002,win
2026-02-05 20:50:00+00:00,PUT,1.3520900000000002,1.35138,win
2026-02-05 21:00:00+00:00,CALL,1.3518200000000002,1.3509600000000002,loss
2026-02-05 21:10:00+00:00,CALL,1.3515800000000002,1.3509700000000002,loss
2026-02-05 21:20:00+00:00,CALL,1.35138,1.3510400000000002,loss
2026-02-05 21:30:00+00:00,CALL,1.3509600000000002,1.35055,loss
2026-02-05 21:40:00+00:00,CALL,1.3509700000000002,1.3506900000000004,loss
2026-02-05 21:50:00+00:00,CALL,1.3510400000000002,1.3509500000000003,loss
2026-02-05 22:00:00+00:00,CALL,1.35055,1.3512100000000005,win
2026-02-05 22:10:00+00:00,CALL,1.3506900000000004,1.3513200000000003,win
2026-02-05 22:20:00+00:00,CALL,1.3509500000000003,1.3514100000000004,win
2026-02-05 22:30:00+00:00,CALL,1.3512100000000005,1.3513300000000004,win
2026-02-05 22:40:00+00:00,CALL,1.3513200000000003,1.3507300000000004,loss
2026-02-05 22:50:00+00:00,CALL,1.3514100000000004,1.3503300000000005,loss
2026-02-06 20:00:00+00:00,PUT,1.3595000000000004,1.3595600000000003,loss
