time,dir,entry,exit,result
2026-02-02 20:00:00+00:00,PUT,1.177749999999999,1.1774899999999988,win
2026-02-02 20:10:00+00:00,PUT,1.177849999999999,1.1778299999999988,win
2026-02-02 20:20:00+00:00,PUT,1.1774999999999989,1.178019999999999,loss
2026-02-02 20:30:00+00:00,PUT,1.1774899999999988,1.1784799999999989,loss
2026-02-02 20:40:00+00:00,PUT,1.1778299999999988,1.178659999999999,loss
2026-02-02 20:50:00+00:00,PUT,1.178019999999999,1.178589999999999,loss
2026-02-02 21:00:00+00:00,CALL,1.1784799999999989,1.1784499999999989,loss
2026-02-02 21:10:00+00:00,CALL,1.178659999999999,1.178529999999999,loss
2026-02-02 21:20:00+00:00,CALL,1.178589999999999,1.1782399999999988,loss
2026-02-02 21:30:00+00:00,CALL,1.1784499999999989,1.1777999999999988,loss
2026-02-02 21:40:00+00:00,CALL,1.178529999999999,1.1780999999999988,loss
2026-02-02 21:50:00+00:00,CALL,1.1782399999999988,1.178399999999999,win
2026-02-02 22:00:00+00:00,CALL,1.1777999999999988,1.178129999999999,win
2026-02-02 22:10:00+00:00,CALL,1.1780999999999988,1.178209999999999,win
2026-02-02 22:20:00+00:00,CALL,1.178399999999999,1.1782799999999989,loss
2026-02-02 22:30:00+00:00,CALL,1.178129999999999,1.178439999999999,win
2026-02-02 22:40:00+00:00,CALL,1.178209999999999,1.178619999999999,win
2026-02-02 22:50:00+00:00,CALL,1.1782799999999989,1.1790599999999989,win
2026-02-03 20:00:00+00:00,PUT,1.180299999999999,1.181009999999999,loss
2026-02-03 20:10:00+00:00,PUT,1.180709999999999,1.1808899999999989,loss
2026-02-03 20:20:00+00:00,PUT,1.180579999999999,1.181239999999999,loss
2026-02-03 20:30:00+00:00,PUT,1.181009999999999,1.181559999999999,loss
2026-02-03 20:40:00+00:00,PUT,1.1808899999999989,1.181789999999999,loss
2026-02-03 20:50:00+00:00,PUT,1.181239999999999,1.181519999999999,loss
2026-02-03 21:00:00+00:00,CALL,1.181559999999999,1.181639999999999,win
2026-02-03 21:10:00+00:00,CALL,1.181789999999999,1.181649999999999,loss
2026-02-03 21:20:00+00:00,CALL,1.181519999999999,1.181589999999999,win
2026-02-03 21:30:00+00:00,CALL,1.181639999999999,1.180739999999999,loss
2026-02-03 21:40:00+00:00,CALL,1.181649999999999,1.180699999999999,loss
2026-02-03 21:50:00+00:00,CALL,1.181589999999999,1.180529999999999,loss
2026-02-03 22:00:00+00:00,CALL,1.180739999999999,1.180949999999999,win
2026-02-03 22:10:00+00:00,CALL,1.180699999999999,1.181239999999999,win
2026-02-03 22:20:00+00:00,CALL,1.180529999999999,1.1809599999999991,win
2026-02-03 22:30:00+00:00,CALL,1.180949999999999,1.181219999999999,win
2026-02-03 22:40:00+00:00,CALL,1.181239999999999,1.181179999999999,loss
2026-02-03 22:50:00+00:00,CALL,1.1809599999999991,1.180909999999999,loss
2026-02-04 20:00:00+00:00,PUT,1.180099999999999,1.179749999999999,win
2026-02-04 20:10:00+00:00,PUT,1.1799499999999992,1.179759999999999,win
2026-02-04 20:20:00+00:00,PUT,1.179729999999999,1.1796099999999992,win
2026-02-04 20:30:00+00:00,PUT,1.179749999999999,1.179669999999999,win
2026-02-04 20:40:00+00:00,PUT,1.179759999999999,1.1797399999999991,win
2026-02-04 20:50:00+00:00,PUT,1.1796099999999992,1.179799999999999,loss
2026-02-04 21:00:00+00:00,CALL,1.179669999999999,1.179749999999999,win
2026-02-04 21:10:00+00:00,CALL,1.1797399999999991,1.1798399999999991,win
2026-02-04 21:20:00+00:00,CALL,1.179799999999999,1.179729999999999,loss
2026-02-04 21:30:00+00:00,CALL,1.179749999999999,1.1796399999999991,loss
2026-02-04 21:40:00+00:00,CALL,1.1798399999999991,1.1796399999999991,loss
2026-02-04 21:50:00+00:00,CALL,1.179729999999999,1.179689999999999,loss
2026-02-04 22:00:00+00:00,CALL,1.1796399999999991,1.179769999999999,win
2026-02-04 22:10:00+00:00,CALL,1.1796399999999991,1.1797399999999991,win
2026-02-04 22:20:00+00:00,CALL,1.179689999999999,1.179799999999999,win
2026-02-04 22:30:00+00:00,CALL,1.179769999999999,1.179939999999999,win
2026-02-04 22:40:00+00:00,CALL,1.1797399999999991,1.1800099999999991,win
2026-02-04 22:50:00+00:00,CALL,1.179799999999999,1.179959999999999,win
2026-02-05 20:00:00+00:00,PUT,1.178529999999999,1.178099999999999,win
2026-02-05 20:10:00+00:00,PUT,1.178199999999999,1.177729999999999,win
2026-02-05 20:20:00+00:00,PUT,1.178309999999999,1.177459999999999,win
2026-02-05 20:30:00+00:00,PUT,1.178099999999999,1.177309999999999,win
2026-02-05 20:40:00+00:00,PUT,1.177729999999999,1.177179999999999,win
2026-02-05 20:50:00+00:00,PUT,1.177459999999999,1.177179999999999,win
2026-02-05 21:00:00+00:00,CALL,1.177309999999999,1.177069999999999,loss
2026-02-05 21:10:00+00:00,CALL,1.177179999999999,1.176909999999999,loss
2026-02-05 21:20:00+00:00,CALL,1.177179999999999,1.1768599999999991,loss
2026-02-05 21:30:00+00:00,CALL,1.177069999999999,1.177009999999999,loss
2026-02-05 21:40:00+00:00,CALL,1.176909999999999,1.1770999999999991,win
2026-02-05 21:50:00+00:00,CALL,1.1768599999999991,1.1773099999999992,win
2026-02-05 22:00:00+00:00,CALL,1.177009999999999,1.177329999999999,win
2026-02-05 22:10:00+00:00,CALL,1.1770999999999991,1.1773999999999991,win
2026-02-05 22:20:00+00:00,CALL,1.1773099999999992,1.177419999999999,win
2026-02-05 22:30:00+00:00,CALL,1.177329999999999,1.177329999999999,scratch
2026-02-05 22:40:00+00:00,CALL,1.1773999999999991,1.1770399999999992,loss
2026-02-05 22:50:00+00:00,CALL,1.177419999999999,1.177019999999999,loss
2026-02-06 20:00:00+00:00,PUT,1.181289999999999,1.181519999999999,loss
2026-02-06 20:10:00+00:00,PUT,1.1814399999999992,1.181449999999999,loss
2026-02-06 20:20:00+00:00,PUT,1.181499999999999,1.181589999999999,loss
2026-02-06 20:30:00+00:00,PUT,1.181519999999999,1.1816399999999991,loss
2026-02-06 20:40:00+00:00,PUT,1.181449999999999,1.1816099999999992,loss
2026-02-06 20:50:00+00:00,PUT,1.181589999999999,1.181659999999999,loss
2026-02-06 21:00:00+00:00,CALL,1.1816399999999991,1.1814799999999992,loss
2026-02-06 21:10:00+00:00,CALL,1.1816099999999992,1.180989999999999,loss
2026-02-06 21:20:00+00:00,CALL,1.181659999999999,1.1807599999999991,loss
2026-02-06 21:30:00+00:00,CALL,1.1814799999999992,1.1807899999999991,loss
2026-02-06 21:40:00+00:00,CALL,1.180989999999999,1.181019999999999,win
2026-02-06 21:50:00+00:00,CALL,1.1807599999999991,1.1810099999999992,win
2026-02-08 22:00:00+00:00,CALL,1.1807899999999991,1.181059999999999,win
2026-02-08 22:10:00+00:00,CALL,1.181019999999999,1.1811299999999991,win
2026-02-08 22:20:00+00:00,CALL,1.1810099999999992,1.1811799999999992,win
2026-02-08 22:30:00+00:00,CALL,1.181059999999999,1.1812499999999992,win
2026-02-08 22:40:00+00:00,CALL,1.1811299999999991,1.180919999999999,loss
2026-02-08 22:50:00+00:00,CALL,1.1811799999999992,1.1809999999999992,loss
2026-02-09 20:00:00+00:00,PUT,1.1918499999999992,1.191659999999999,win
2026-02-09 20:10:00+00:00,PUT,1.1916499999999992,1.191729999999999,loss
2026-02-09 20:20:00+00:00,PUT,1.1914099999999992,1.1912499999999993,win
2026-02-09 20:30:00+00:00,PUT,1.191659999999999,1.191289999999999,win
2026-02-09 20:40:00+00:00,PUT,1.191729999999999,1.191019999999999,win
2026-02-09 20:50:00+00:00,PUT,1.1912499999999993,1.1910699999999992,win
2026-02-09 21:00:00+00:00,CALL,1.191289999999999,1.1909299999999992,loss
2026-02-09 21:10:00+00:00,CALL,1.191019999999999,1.1912399999999992,win
2026-02-09 21:20:00+00:00,CALL,1.1910699999999992,1.191219999999999,win
2026-02-09 21:30:00+00:00,CALL,1.1909299999999992,1.1907699999999992,loss
2026-02-09 21:40:00+00:00,CALL,1.1912399999999992,1.1908999999999992,loss
2026-02-09 21:50:00+00:00,CALL,1.191219999999999,1.1909099999999992,loss
2026-02-09 22:00:00+00:00,CALL,1.1907699999999992,1.1909399999999992,win
2026-02-09 22:10:00+00:00,CALL,1.1908999999999992,1.1909299999999992,win
2026-02-09 22:20:00+00:00,CALL,1.1909099999999992,1.190949999999999,win
2026-02-09 22:30:00+00:00,CALL,1.1909399999999992,1.191259999999999,win
2026-02-09 22:40:00+00:00,CALL,1.1909299999999992,1.1909399999999992,win
2026-02-09 22:50:00+00:00,CALL,1.190949999999999,1.1905899999999991,loss
2026-02-10 20:00:00+00:00,PUT,1.1898099999999991,1.1900799999999991,loss
2026-02-10 20:10:00+00:00,PUT,1.189869999999999,1.1901199999999992,loss
2026-02-10 20:20:00+00:00,PUT,1.1901199999999992,1.189699999999999,win
2026-02-10 20:30:00+00:00,PUT,1.1900799999999991,1.189319999999999,win
2026-02-10 20:40:00+00:00,PUT,1.1901199999999992,1.189329999999999,win
2026-02-10 20:50:00+00:00,PUT,1.189699999999999,1.1894099999999992,win
2026-02-10 21:00:00+00:00,CALL,1.189319999999999,1.1895499999999992,win
2026-02-10 21:10:00+00:00,CALL,1.189329999999999,1.189429999999999,win
2026-02-10 21:20:00+00:00,CALL,1.1894099999999992,1.189459999999999,win
2026-02-10 21:30:00+00:00,CALL,1.1895499999999992,1.189159999999999,loss
2026-02-10 21:40:00+00:00,CALL,1.189429999999999,1.1889499999999993,loss
2026-02-10 21:50:00+00:00,CALL,1.189459999999999,1.1887399999999992,loss
2026-02-10 22:00:00+00:00,CALL,1.189159999999999,1.1888399999999992,loss
2026-02-10 22:10:00+00:00,CALL,1.1889499999999993,1.1886899999999994,loss
2026-02-10 22:20:00+00:00,CALL,1.1887399999999992,1.1887099999999993,loss
2026-02-10 22:30:00+00:00,CALL,1.1888399999999992,1.188649999999999,loss
2026-02-10 22:40:00+00:00,CALL,1.1886899999999994,1.1884299999999994,loss
2026-02-10 22:50:00+00:00,CALL,1.1887099999999993,1.1885899999999994,loss
2026-02-11 20:00:00+00:00,PUT,1.1873599999999993,1.1869799999999993,win
2026-02-11 20:10:00+00:00,PUT,1.187329999999999,1.1868899999999991,win
2026-02-11 20:20:00+00:00,PUT,1.1872299999999991,1.1870399999999994,win
2026-02-11 20:30:00+00:00,PUT,1.1869799999999993,1.186819999999999,win
2026-02-11 20:40:00+00:00,PUT,1.1868899999999991,1.1866599999999994,win
2026-02-11 20:50:00+00:00,PUT,1.1870399999999994,1.1867399999999992,win
2026-02-11 21:00:00+00:00,CALL,1.186819999999999,1.1866899999999994,loss
2026-02-11 21:10:00+00:00,CALL,1.1866599999999994,1.1865599999999994,loss
2026-02-11 21:20:00+00:00,CALL,1.1867399999999992,1.1866799999999993,loss
2026-02-11 21:30:00+00:00,CALL,1.1866899999999994,1.1864199999999994,loss
2026-02-11 21:40:00+00:00,CALL,1.1865599999999994,1.1866199999999991,win
2026-02-11 21:50:00+00:00,CALL,1.1866799999999993,1.1867099999999993,win
2026-02-11 22:00:00+00:00,CALL,1.1864199999999994,1.1867899999999991,win
2026-02-11 22:10:00+00:00,CALL,1.1866199999999991,1.1868299999999994,win
2026-02-11 22:20:00+00:00,CALL,1.1867099999999993,1.1870199999999993,win
2026-02-11 22:30:00+00:00,CALL,1.1867899999999991,1.1869099999999992,win
2026-02-11 22:40:00+00:00,CALL,1.1868299999999994,1.1867699999999994,loss
2026-02-11 22:50:00+00:00,CALL,1.1870199999999993,1.1870699999999994,win
2026-02-12 20:00:00+00:00,PUT,1.1864599999999994,1.1860799999999994,win
2026-02-12 20:10:00+00:00,PUT,1.1863999999999992,1.1865399999999993,loss
2026-02-12 20:20:00+00:00,PUT,1.1863899999999994,1.1865599999999994,loss
2026-02-12 20:30:00+00:00,PUT,1.1860799999999994,1.1866899999999994,loss
2026-02-12 20:40:00+00:00,PUT,1.1865399999999993,1.1867099999999993,loss
2026-02-12 20:50:00+00:00,PUT,1.1865599999999994,1.1867699999999994,loss
2026-02-12 21:00:00+00:00,CALL,1.1866899999999994,1.1866099999999993,loss
2026-02-12 21:10:00+00:00,CALL,1.1867099999999993,1.1865199999999994,loss
